appliance_guess,cluster,start,end,duration_s,magnitude_w
water filter,5,2013-06-07 00:55:02+05:30,2013-06-07 00:57:08+05:30,126.0,37.48974609375
water motor,0,2013-06-07 00:49:16+05:30,2013-06-07 01:01:36+05:30,740.0,188.000732421875
television,4,2013-06-07 00:27:25+05:30,2013-06-07 01:11:17+05:30,2632.0,98.8671875
television,4,2013-06-07 01:18:33+05:30,2013-06-07 01:25:27+05:30,414.0,96.892822265625
laptop computer,1,2013-06-07 02:42:13+05:30,2013-06-07 02:47:58+05:30,345.0,55.934661865234375
laptop computer,1,2013-06-07 03:24:38+05:30,2013-06-07 03:44:13+05:30,1175.0,55.281463623046875
kitchen outlets,3,2013-06-07 03:52:54+05:30,2013-06-07 04:07:07+05:30,853.0,437.6667175292969
laptop computer,1,2013-06-07 04:50:34+05:30,2013-06-07 05:09:31+05:30,1137.0,60.02099609375
television,4,2013-06-07 05:32:46+05:30,2013-06-07 05:37:31+05:30,285.0,97.31979370117188
kitchen outlets,3,2013-06-07 05:46:50+05:30,2013-06-07 05:47:23+05:30,33.0,380.39068603515625
kitchen outlets,3,2013-06-07 05:18:38+05:30,2013-06-07 05:47:30+05:30,1732.0,359.68585205078125
kitchen outlets,3,2013-06-07 05:47:39+05:30,2013-06-07 05:47:45+05:30,6.0,369.3873291015625
kitchen outlets,3,2013-06-07 05:48:14+05:30,2013-06-07 05:48:39+05:30,25.0,395.0868835449219
kitchen outlets,3,2013-06-07 05:04:45+05:30,2013-06-07 05:48:54+05:30,2649.0,384.6939392089844
kitchen outlets,3,2013-06-07 05:49:07+05:30,2013-06-07 05:49:27+05:30,20.0,359.615478515625
water motor,0,2013-06-07 05:51:55+05:30,2013-06-07 05:51:58+05:30,3.0,322.19793701171875
laptop computer,1,2013-06-07 05:15:59+05:30,2013-06-07 05:52:04+05:30,2165.0,69.14288330078125
water motor,0,2013-06-07 05:51:17+05:30,2013-06-07 05:53:56+05:30,159.0,207.771240234375
kitchen outlets,3,2013-06-07 05:54:17+05:30,2013-06-07 05:54:34+05:30,17.0,407.30731201171875
television,4,2013-06-07 07:05:47+05:30,2013-06-07 07:20:10+05:30,863.0,119.49758911132812
laptop computer,1,2013-06-07 07:28:59+05:30,2013-06-07 07:37:16+05:30,497.0,75.71969604492188
water motor,0,2013-06-07 07:00:03+05:30,2013-06-07 07:47:28+05:30,2845.0,183.86065673828125
television,4,2013-06-07 07:48:01+05:30,2013-06-07 07:48:07+05:30,6.0,100.0867919921875
water motor,0,2013-06-07 07:49:07+05:30,2013-06-07 07:49:14+05:30,7.0,165.21453857421875
television,4,2013-06-07 07:50:28+05:30,2013-06-07 07:50:43+05:30,15.0,130.022705078125
laptop computer,1,2013-06-07 07:53:52+05:30,2013-06-07 07:54:11+05:30,19.0,57.64520263671875
laptop computer,1,2013-06-07 07:41:25+05:30,2013-06-07 07:55:14+05:30,829.0,59.8277587890625
water filter,5,2013-06-07 07:27:47+05:30,2013-06-07 07:56:45+05:30,1738.0,39.3427734375
water filter,5,2013-06-07 07:27:30+05:30,2013-06-07 08:08:41+05:30,2471.0,43.9302978515625
television,4,2013-06-07 07:50:09+05:30,2013-06-07 08:09:57+05:30,1188.0,117.88442993164062
water filter,5,2013-06-07 08:15:04+05:30,2013-06-07 08:15:26+05:30,22.0,38.045623779296875
television,4,2013-06-07 08:18:41+05:30,2013-06-07 08:25:41+05:30,420.0,121.53866577148438
television,4,2013-06-07 07:50:01+05:30,2013-06-07 08:44:20+05:30,3259.0,121.36917114257812
water filter,5,2013-06-07 08:57:12+05:30,2013-06-07 08:57:41+05:30,29.0,32.66558837890625
laptop computer,1,2013-06-07 08:57:19+05:30,2013-06-07 09:14:29+05:30,1030.0,59.8763427734375
water filter,5,2013-06-07 09:29:34+05:30,2013-06-07 09:32:04+05:30,150.0,31.35198974609375
kitchen outlets,3,2013-06-07 09:23:40+05:30,2013-06-07 09:38:16+05:30,876.0,372.6759948730469
